,Date,symbols,Categories,count_post,Percent_price_change,abs
0,2018-07-06,A,Other,0,1.3324739190210917,1.3324739190210917
1,2018-07-06,AAL,Other,0,3.202943596261229,3.202943596261229
2,2018-07-06,AAOI,Other,0,-1.4993451104857507,1.4993451104857507
3,2018-07-06,AAP,Other,0,2.7557037469967485,2.7557037469967485
4,2018-07-06,AAPL,Other,0,1.3885197602819022,1.3885197602819022
5,2018-07-06,ABBV,Other,0,0.1238162905996149,0.1238162905996149
6,2018-07-06,ABC,Other,0,0.3182889341952262,0.3182889341952262
7,2018-07-06,ABEV,Other,0,0.430107107878022,0.430107107878022
8,2018-07-06,ABT,Other,0,0.4504484877479515,0.4504484877479515
9,2018-07-06,ACN,Other,0,0.9847489089239994,0.9847489089239994
10,2018-07-06,ADBE,Other,0,0.6366097810192901,0.6366097810192901
11,2018-07-06,ADI,Other,0,-0.0205726786978745,0.0205726786978745
12,2018-07-06,ADM,Other,0,1.1988897115546249,1.1988897115546249
13,2018-07-06,ADP,Other,0,0.2235159059965153,0.2235159059965153
14,2018-07-06,ADS,Other,0,1.483793086979753,1.483793086979753
15,2018-07-06,ADSK,Other,0,-0.1036188209722035,0.1036188209722035
16,2018-07-06,AEE,Other,0,-3.3209698518988966,3.3209698518988966
17,2018-07-06,AEP,Other,0,-3.75907616515653,3.75907616515653
18,2018-07-06,AES,Other,0,-2.846152965839229,2.846152965839229
19,2018-07-06,AET,Other,0,0.698129931849254,0.698129931849254
20,2018-07-06,AIG,Other,0,2.1887115408943583,2.1887115408943583
21,2018-07-06,AIV,Other,0,-0.5668538861690361,0.5668538861690361
22,2018-07-06,AIZ,Other,0,1.575631690837684,1.575631690837684
23,2018-07-06,AJG,Individual,1,2.03562439761932,2.03562439761932
24,2018-07-06,AJG,News Agency,1,2.03562439761932,2.03562439761932
25,2018-07-06,AJG,Other,0,2.03562439761932,2.03562439761932
26,2018-07-06,AKAM,Other,0,1.410143958771854,1.410143958771854
27,2018-07-06,ALB,Other,0,0.4605426388841313,0.4605426388841313
28,2018-07-06,ALGN,Other,0,0.4316919431117286,0.4316919431117286
29,2018-07-06,ALK,Other,0,1.844724932730468,1.844724932730468
30,2018-07-06,ALLE,Other,0,1.405154595990509,1.405154595990509
31,2018-07-06,AMAT,Other,0,0.8454354663303213,0.8454354663303213
32,2018-07-06,AMD,Other,0,1.5281173024028922,1.5281173024028922
33,2018-07-06,AMG,Other,0,1.9181388523035057,1.9181388523035057
34,2018-07-06,AMP,Other,0,2.8797304079416763,2.8797304079416763
35,2018-07-06,AMT,Other,0,-2.4895445741663345,2.4895445741663345
36,2018-07-06,AMZN,Other,0,1.6596233298494558,1.6596233298494558
37,2018-07-06,AN,Other,0,1.50814399136082,1.50814399136082
38,2018-07-06,ANSS,Other,0,-0.3151273401754277,0.3151273401754277
39,2018-07-06,AON,Other,0,2.0842313163430197,2.0842313163430197
40,2018-07-06,APA,Other,0,3.1762986214313456,3.1762986214313456
41,2018-07-06,APD,Other,0,0.7980081747131376,0.7980081747131376
42,2018-07-06,APH,Other,0,1.3380204926967847,1.3380204926967847
43,2018-07-06,APRN,Other,0,2.686564127603983,2.686564127603983
44,2018-07-06,AUY,Other,0,-0.6451606948962374,0.6451606948962374
45,2018-07-06,AVB,Individual,1,-0.5726216071831876,0.5726216071831876
46,2018-07-06,AVB,Other,0,-0.5726216071831876,0.5726216071831876
47,2018-07-06,AVY,Individual,3,1.2367666011420944,1.2367666011420944
48,2018-07-06,AVY,Other,0,1.2367666011420944,1.2367666011420944
49,2018-07-06,AXP,Other,0,1.4108882119422228,1.4108882119422228
50,2018-07-06,AYI,Other,0,-0.4826050756525589,0.4826050756525589
51,2018-07-06,AZO,Other,0,1.2847226635697655,1.2847226635697655
52,2018-07-06,BA,Other,0,2.175471689165787,2.175471689165787
53,2018-07-06,BABA,Other,0,0.2496467035283429,0.2496467035283429
54,2018-07-06,BAX,Other,0,0.4033822929730671,0.4033822929730671
55,2018-07-06,BBBY,Other,0,0.7593728036522104,0.7593728036522104
56,2018-07-06,BBY,Other,0,1.25201981752725,1.25201981752725
57,2018-07-06,BDX,Other,0,0.7411690056964009,0.7411690056964009
58,2018-07-06,BEN,Other,0,1.7306517700618598,1.7306517700618598
59,2018-07-06,BHC,Other,0,2.5696871781972623,2.5696871781972623
60,2018-07-06,BIDU,Other,0,4.05131539704976,4.05131539704976
61,2018-07-06,BIIB,Other,0,-0.9734840772568696,0.9734840772568696
62,2018-07-06,BLK,Other,0,2.5239487482944822,2.5239487482944822
63,2018-07-06,BMY,Other,0,-0.1944848084878989,0.1944848084878989
64,2018-07-06,BSX,Other,0,0.5355557926421594,0.5355557926421594
65,2018-07-06,BWA,Other,0,3.3415601555684926,3.3415601555684926
66,2018-07-06,BXP,Other,0,-0.2058607521358906,0.2058607521358906
67,2018-07-06,BZUN,Other,0,4.274896834936652,4.274896834936652
68,2018-07-06,C,Other,0,2.680969717189664,2.680969717189664
69,2018-07-06,CAH,Other,0,0.6407683292429284,0.6407683292429284
70,2018-07-06,CAT,Other,0,4.10604638374279,4.10604638374279
71,2018-07-06,CCI,Other,0,-1.49186311026859,1.49186311026859
72,2018-07-06,CCL,Other,0,0.6776705383468605,0.6776705383468605
73,2018-07-06,CHRW,Other,0,1.6575912160248734,1.6575912160248734
74,2018-07-06,CI,Other,0,0.6507815673837658,0.6507815673837658
75,2018-07-06,CINF,Other,0,2.121751032100598,2.121751032100598
76,2018-07-06,CL,Other,0,-1.1857689172568,1.1857689172568
