,id,Date,source,symbols,dayofweek,Close
67,1.0197290443995382e+18,2018-07-18,NEyce3BCkec2XCQ,BTC,Wed,
68,1.0197290533921096e+18,2018-07-18,binance_affi,BTC,Wed,
69,1.0197290681604055e+18,2018-07-18,Cryptocoin_Tips,BTC,Wed,
70,1.0197291009009295e+18,2018-07-18,crypto_overdose,BTC,Wed,
71,1.0197291084591227e+18,2018-07-18,GraphixFlow,BTC,Wed,
72,1.0197292186309263e+18,2018-07-18,abcabc3923abc,BTC,Wed,
73,1.0197292236474655e+18,2018-07-18,goudsmederij,BTC,Wed,
74,1.0197292704515195e+18,2018-07-18,CarpeDiem4n,BTC,Wed,
75,1.0197293211774444e+18,2018-07-18,piper_crypto,BTC,Wed,
76,1.0197293306398556e+18,2018-07-18,cryptopower5,BTC,Wed,
77,1.019729340131627e+18,2018-07-18,traderspybot,BTC,Wed,
78,1.019729366337536e+18,2018-07-18,sb9kamnev,BTC,Wed,
79,1.019729414211416e+18,2018-07-18,Zaboor786,BTC,Wed,
80,1.0197294205951017e+18,2018-07-18,CryptoFib,BTC,Wed,
81,1.0197294267985306e+18,2018-07-18,21e800C,BTC,Wed,
82,1.0197294552610038e+18,2018-07-18,davidsettle42,BTC,Wed,
83,1.0197294656964977e+18,2018-07-18,HojixLee,BTC,Wed,
84,1.0197294859424768e+18,2018-07-18,NEFInvest,BTC,Wed,
85,1.0197294984875008e+18,2018-07-18,Nico88417164,BTC,Wed,
86,1.019729540107518e+18,2018-07-18,thepumpadvisor,BTC,Wed,
87,1.0197295723072184e+18,2018-07-18,jamalediputra93,BTC,Wed,
88,1.019729611729535e+18,2018-07-18,JPMorganCrypto,BTC,Wed,
89,1.019729649864233e+18,2018-07-18,Virtualcoinyytt,BTC,Wed,
90,1.0197296589322895e+18,2018-07-18,MickeyandMalBTC,BTC,Wed,
91,1.019729672601342e+18,2018-07-18,FRINGE10x20,BTC,Wed,
92,1.0197296834352865e+18,2018-07-18,somastream,BTC,Wed,
93,1.0197296991555297e+18,2018-07-18,piper_crypto,BTC,Wed,
94,1.0197297269177917e+18,2018-07-18,MobRules1968,BTC,Wed,
95,1.0197297407462195e+18,2018-07-18,negisan8,BTC,Wed,
96,1.0197297855750267e+18,2018-07-18,lordhinktoshi,BTC,Wed,
97,1.0197298231770399e+18,2018-07-18,MushiShi15,BTC,Wed,
98,1.0197298569076941e+18,2018-07-18,KurtalZahid,BTC,Wed,
99,1.0197299410411643e+18,2018-07-18,qcharsky98,BTC,Wed,
100,1.0197299593996411e+18,2018-07-18,RussWhite2,BTC,Wed,
101,1.0197299971316695e+18,2018-07-18,CoinCodex,BTC,Wed,
102,1.0197300296374968e+18,2018-07-18,FakeNewsGlobal1,BTC,Wed,
103,1.0197300348762112e+18,2018-07-18,KiraQueen11,BTC,Wed,
104,1.0197300353289667e+18,2018-07-18,peabodyz,BTC,Wed,
105,1.0197300747974083e+18,2018-07-18,_DaddyDanger,BTC,Wed,
106,1.0197300827037901e+18,2018-07-18,iad81,BTC,Wed,
107,1.0197301155242885e+18,2018-07-18,keizai_toushi17,BTC,Wed,
108,1.019730115805184e+18,2018-07-18,iad81,BTC,Wed,
109,1.0197301172523418e+18,2018-07-18,O8viWMyrCV6cBOZ,BTC,Wed,
110,1.0197184602873897e+18,2018-07-18,Forbes,ORCL,Wed,48.63999938964844
111,1.0197194650957906e+18,2018-07-18,jimcramer,FB,Wed,209.3600006103516
112,1.0197194650957906e+18,2018-07-18,jimcramer,FB,Wed,209.3600006103516
113,1.0197194650957906e+18,2018-07-18,jimcramer,FB,Wed,209.3600006103516
114,1.0196998858287882e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
115,1.0197002397779108e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
116,1.0197003230052598e+18,2018-07-18,CMLviz,FB,Wed,209.3600006103516
117,1.0197009272452833e+18,2018-07-18,leonbergers,FB,Wed,209.3600006103516
118,1.0197011299306578e+18,2018-07-18,DowdEdward,FB,Wed,209.3600006103516
119,1.0197025207368622e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
120,1.0197036607569388e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
121,1.0197039778548163e+18,2018-07-18,HundVonInternet,FB,Wed,209.3600006103516
122,1.0197040143829934e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
123,1.0197045051794964e+18,2018-07-18,GenAugustoP,FB,Wed,209.3600006103516
124,1.019705874435199e+18,2018-07-18,A_Siegel,FB,Wed,209.3600006103516
125,1.0197063009162076e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
126,1.0197074362806026e+18,2018-07-18,test5f1798,FB,Wed,209.3600006103516
127,1.0197077701809152e+18,2018-07-18,RatingsNetwork,FB,Wed,209.3600006103516
