,symbols,Date,Close
0,GS,2018-02-23,266.7699890136719
1,GS,2018-02-26,271.260009765625
2,GS,2018-02-27,267.92999267578125
3,GS,2018-02-28,262.92999267578125
4,GS,2018-03-01,256.7799987792969
5,GS,2018-03-02,258.1199951171875
6,GS,2018-03-05,263.1199951171875
7,GS,2018-03-06,266.92999267578125
8,GS,2018-03-07,265.3500061035156
9,GS,2018-03-08,266.3399963378906
10,GS,2018-03-09,270.7699890136719
11,GS,2018-03-12,273.3800048828125
12,GS,2018-03-13,268.5299987792969
13,GS,2018-03-14,264.42999267578125
14,GS,2018-03-15,266.6099853515625
15,GS,2018-03-16,267.6000061035156
16,GS,2018-03-19,262.5299987792969
17,GS,2018-03-20,263.19000244140625
18,GS,2018-03-21,261.8500061035156
19,GS,2018-03-22,252.60000610351562
20,GS,2018-03-23,245.25999450683594
21,GS,2018-03-26,254.8800048828125
22,GS,2018-03-27,247.25999450683594
23,GS,2018-03-28,249.3699951171875
24,GS,2018-03-29,251.86000061035156
25,GS,2018-04-02,247.35000610351562
26,GS,2018-04-03,250.5800018310547
27,GS,2018-04-04,252.6199951171875
28,GS,2018-04-05,255.80999755859375
29,GS,2018-04-06,249.97000122070312
30,GS,2018-04-09,252.19000244140625
31,GS,2018-04-10,256.57000732421875
32,GS,2018-04-11,252.94000244140625
33,GS,2018-04-12,259.5899963378906
34,GS,2018-04-13,255.9199981689453
35,GS,2018-04-16,257.8800048828125
36,GS,2018-04-17,253.6300048828125
37,GS,2018-04-18,254.0
38,GS,2018-04-19,254.1699981689453
39,GS,2018-04-20,251.9600067138672
40,GS,2018-04-23,246.6699981689453
41,GS,2018-04-24,242.49000549316406
42,GS,2018-04-25,239.22999572753906
43,GS,2018-04-26,240.08999633789062
44,GS,2018-04-27,239.8000030517578
45,GS,2018-04-30,238.3300018310547
46,GS,2018-05-01,236.6699981689453
47,GS,2018-05-02,234.0500030517578
48,GS,2018-05-03,233.41000366210938
49,GS,2018-05-04,234.94000244140625
50,GS,2018-05-07,237.1999969482422
51,GS,2018-05-08,237.0
52,GS,2018-05-09,241.72999572753906
53,GS,2018-05-10,243.44000244140625
54,GS,2018-05-11,242.9199981689453
55,GS,2018-05-14,243.91000366210938
56,GS,2018-05-15,241.55999755859375
57,GS,2018-05-16,240.9600067138672
58,GS,2018-05-17,239.10000610351562
59,GS,2018-05-18,237.0
60,GS,2018-05-21,237.6999969482422
61,GS,2018-05-22,238.0
62,GS,2018-05-23,237.80999755859375
63,GS,2018-05-24,236.10000610351562
64,GS,2018-05-25,235.00999450683594
65,GS,2018-05-29,227.02999877929688
66,GS,2018-05-30,229.16000366210938
67,GS,2018-05-31,225.8800048828125
68,GS,2018-06-01,228.35000610351562
69,GS,2018-06-04,229.88999938964844
70,GS,2018-06-05,228.33999633789062
71,GS,2018-06-06,232.22999572753906
72,GS,2018-06-07,233.4499969482422
73,GS,2018-06-08,233.38999938964844
74,GS,2018-06-11,234.08999633789062
75,GS,2018-06-12,232.6300048828125
76,GS,2018-06-13,233.8300018310547
77,GS,2018-06-14,233.64999389648438
78,GS,2018-06-15,231.9199981689453
79,GS,2018-06-18,231.38999938964844
