,id,Date,source,symbols,dayofweek
86,1016163661981732900,2018-07-09,______JG,PNR,Mon
87,1016171844959965200,2018-07-09,Jenlovescrypto,ARRY,Mon
88,1016174614592958500,2018-07-09,shortvolumes,SNPS,Mon
89,1016175659369074700,2018-07-09,GregStockett,JEC,Mon
90,1016182737475121200,2018-07-09,pnani456,MOS,Mon
91,1016185644123607000,2018-07-09,reurope_stock,DDR,Mon
92,1016187286558466000,2018-07-09,trickmitch1,EL,Mon
93,1016187324680376300,2018-07-09,OneOClockDrop,FNSR,Mon
94,1016187350890606600,2018-07-09,amoghp88,EXPD,Mon
95,1016187912180777000,2018-07-09,OneOClockDrop,ODP,Mon
96,1016191137818832900,2018-07-09,Liam_Hennessy_,JEC,Mon
97,1016191357319143400,2018-07-09,jnybgood2000,ODP,Mon
98,1016193213353295900,2018-07-09,TheMarketsDaily,JEC,Mon
99,1016199304547950600,2018-07-09,SeekingAlpha,DLTR,Mon
100,1016200281749643300,2018-07-09,shortvolumes,AEE,Mon
101,1016201710065324000,2018-07-09,Allstocknews,AJG,Mon
102,1016201990299365400,2018-07-09,dpinsen,DLTR,Mon
103,1016202059278938100,2018-07-09,TheMarketsDaily,AON,Mon
104,1016202936551133200,2018-07-09,dispatchtribune,LH,Mon
105,1016204582936907800,2018-07-09,SeekingAlpha,ALLE,Mon
106,1016206633050009600,2018-07-09,dailypoliticaln,AIV,Mon
107,1016207219111743500,2018-07-09,TranscriptDaily,RE,Mon
108,1016208393378283500,2018-07-09,SeekingAlpha,HSY,Mon
109,1016208591802363900,2018-07-09,samaninatasha,HSY,Mon
110,1016209116161806300,2018-07-09,dailypoliticaln,WU,Mon
111,1016209268800938000,2018-07-09,ZolmaxNews,WU,Mon
112,1016210840691839000,2018-07-09,WeekHerald,WRK,Mon
113,1016211345136549900,2018-07-09,OlympiaReport,AMG,Mon
114,1016211364157775900,2018-07-09,OlympiaReport,WRK,Mon
115,1016211565484363800,2018-07-09,dailypoliticaln,EXPD,Mon
116,1016211735454339100,2018-07-09,TickerReport,EXPD,Mon
117,1016211959648268300,2018-07-09,WeekHerald,AMG,Mon
118,1016212588927991800,2018-07-09,______JG,PNR,Mon
119,1016212961290047500,2018-07-09,TranscriptDaily,HRS,Mon
120,1016213318183333900,2018-07-09,dakotafinancial,AAP,Mon
121,1016215554338840600,2018-07-09,CNBCTradersFan,OKE,Mon
122,1016215571434786800,2018-07-09,CNBCTradersFan,DLTR,Mon
123,1016215579886223400,2018-07-09,CNBCTradersFan,ALLE,Mon
124,1016215582155444200,2018-07-09,CNBCTradersFan,HSY,Mon
125,1016216608098914300,2018-07-09,dailypoliticaln,ANSS,Mon
126,1016216657780502500,2018-07-09,ZolmaxNews,ANSS,Mon
127,1016218013132050400,2018-07-09,Brand_UK,AON,Mon
128,1016219229094400000,2018-07-09,ilginelcora,XRAY,Mon
129,1016220457396330500,2018-07-09,ThisLincolnian,MTD,Mon
130,1016221676151992300,2018-07-09,ThisLincolnian,XRAY,Mon
131,1016221768497889300,2018-07-09,WeekHerald,XRAY,Mon
132,1016222146685698000,2018-07-09,BrandMultiComms,AON,Mon
133,1016222817749266400,2018-07-09,TickerReport,TMK,Mon
134,1016223293374951400,2018-07-09,WatchlistN,TMK,Mon
135,1016223348278333400,2018-07-09,Alan__Green,AON,Mon
136,1016226094377291800,2018-07-09,TheMarketsDaily,SLM,Mon
137,1016226857442684900,2018-07-09,rahmiyanty1,IRM,Mon
138,1016228839381459000,2018-07-09,ThisLincolnian,LH,Mon
139,1016229600211488800,2018-07-09,ledgerzette,EXPD,Mon
140,1016229849944461300,2018-07-09,dispatchtribune,SLM,Mon
141,1016230120875491300,2018-07-09,OlympiaReport,SLM,Mon
142,1016230301054455800,2018-07-09,dailypoliticaln,SRCL,Mon
143,1016230316460126200,2018-07-09,TickerReport,SRCL,Mon
144,1016231241035595800,2018-07-09,1MinuteStock,IP,Mon
145,1016234260565495800,2018-07-09,TickerReport,MTD,Mon
146,1016234354446512100,2018-07-09,abelceline23,EMN,Mon
147,1016234370418368500,2018-07-09,abelceline23,EMN,Mon
148,1016235141621014500,2018-07-09,WatchlistN,MTD,Mon
149,1016236364621377500,2018-07-09,TickerReport,NUAN,Mon
150,1016236443767894000,2018-07-09,WatchlistN,NUAN,Mon
151,1016237823077371900,2018-07-09,ConsumerFeed,ARRY,Mon
152,1016239030856450000,2018-07-09,proactive_au,AON,Mon
153,1016239081716703200,2018-07-09,dakotafinancial,AKAM,Mon
154,1016239795524292600,2018-07-09,SwingTradeAsx,DDR,Mon
155,1016241066645884900,2018-07-09,SwingTradeAsx,DDR,Mon
156,1016241586420834300,2018-07-09,dakotafinancial,TRQ,Mon
